Time (s),Voltage_A2 (V),Voltage_ (V)
0,2.392694309,2.432209705
2.053750753,2.338193574,2.438019522
4.10089159,2.336376897,2.408769998
6.148606539,2.34576307,2.406365916
8.195981503,2.322549999,2.395747869
10.24235487,2.325577782,2.374712017
12.29068995,2.326284265,2.363693186
14.33898997,2.304787056,2.366598154
16.38640785,2.302970396,2.354377238
18.43478203,2.302062067,2.339151117
20.48112679,2.284501076,2.337748707
22.52899027,2.284097376,2.323023375
24.57655191,2.286317726,2.307095904
26.62383914,2.259471768,2.297178761
28.67193627,2.262398573,2.281852212
30.72008681,2.268252191,2.266926291
32.76763129,2.256242193,2.276643173
34.8154211,2.24433316,2.262919321
36.86303377,2.440736391,2.256808683
38.90988231,2.245039627,2.243385276
40.95811367,2.222029061,2.231464445
43.00640893,2.220616136,2.240580378
45.05442643,2.223038293,2.223550593
47.10200524,2.241507293,2.199808927
49.14990401,2.203963853,2.202012802
51.19935989,2.198514031,2.193698176
53.24991226,2.191247616,2.18598459
55.29842567,2.202651858,2.172761259
57.3468554,2.205578616,2.157434152
59.3943491,2.183476605,2.1673517
61.44228816,2.197101116,2.145713377
63.49004221,2.182669228,2.138901284
65.53963947,2.165108829,2.140604309
67.58761168,2.165613437,2.125277058
69.63585782,2.183476605,2.11225385
71.68364573,2.155319448,2.115860282
73.73156023,2.157943403,2.099931845
75.78048038,2.156934189,2.084904951
77.82930207,2.141291414,2.088210873
79.87693024,2.144319042,2.084203694
81.92491102,2.126556991,2.06587079
83.97340298,2.132208543,2.065269709
86.02082658,2.129685528,2.053147896
88.06830573,2.129180925,2.046836522
90.11621022,2.115556675,2.038421339
92.16407371,2.105161912,2.041326583
94.2132988,2.119088883,2.030106316
96.26151872,2.098299366,2.016682019
98.30909634,2.104354553,2.017884197
100.3584156,2.084271558,2.011773122
102.4071259,2.10062052,1.986727615
104.4556556,2.073775967,2.003458034
106.5048494,2.087299138,1.98692798
108.5524867,2.07771181,1.982519952
110.6007042,2.081546738,1.974505342
112.6492488,2.066509807,1.960379545
114.6975489,2.067418077,1.957975148
116.746295,2.052078451,1.96088046
118.7957311,2.06388592,1.947255525
120.8437738,2.048142636,1.944650752
122.8929141,2.056317025,1.939240832
124.9419217,2.031793916,1.934932926
126.9898989,2.030986574,1.928320782
129.0384979,2.047234372,1.92020586
131.085916,2.020793893,1.907482425
133.1347353,2.039968267,1.897764494
135.1825972,2.019481966,1.907482425
137.2316308,2.034014108,1.897063199
139.279654,2.013830594,1.886343385
141.3278027,2.022206738,1.882836897
143.3769643,2.001922374,1.88033226
145.4239221,1.993445361,1.882035414
147.4726799,2.020188388,1.868109607
149.5210197,1.990115111,1.858992681
151.569083,2.010702159,1.845868272
153.6158457,2.009289319,1.849775544
155.663347,1.979720716,1.847872002
157.7121234,1.984867451,1.831942318
159.7617841,1.97770239,1.815912372
161.8108108,1.982748206,1.820520989
163.8593907,1.984564702,1.820220428
165.9073694,1.965895208,1.81751537
167.9557211,1.968519023,1.807596808
170.0039315,1.951363345,1.798980661
172.05304,1.957216449,1.806093994
174.1005626,1.950757852,1.800082727
176.1486056,1.969225435,1.783451503
178.1970057,1.938648014,1.781848489
180.2450411,1.953482571,1.77924359
182.2927642,1.942280961,1.778041328
184.3408668,1.924519921,1.770727559
186.3888109,1.942280961,1.769024351
188.4371855,1.925024495,1.756099975
190.4857166,1.925932728,1.748084834
192.5337965,1.924419007,1.74327574
194.5836658,1.910896457,1.748986538
196.6317141,1.930372981,1.72664424
198.6789172,1.928051939,1.734559241
200.7266784,1.901309606,1.732355065
202.7750146,1.906153486,1.719630932
204.8232629,1.908777256,1.721634735
206.8741314,1.894346541,1.72694481
208.9222963,1.913419317,1.711816086
210.9699357,1.89142004,1.695284623
213.0187118,1.889300851,1.69718825
215.0683048,1.881328674,1.698891495
217.1170833,1.880824107,1.692078512
219.1644626,1.883750599,1.687970678
221.2131398,1.871136424,1.679855186
223.2609646,1.886677094,1.683662456
225.3090148,1.87103551,1.666930474
227.357527,1.879915885,1.683261691
229.4060075,1.864072505,1.651601101
231.4536135,1.869521812,1.64979764
233.5031424,1.850550186,1.660418003
235.5526624,1.858724119,1.652402638
237.60113,1.860944203,1.644387254
239.6494644,1.851559312,1.629358359
241.697983,1.854586693,1.632464336
243.7464657,1.8344042,1.639077052
245.7963138,1.851458399,1.626853536
247.8449597,1.83975255,1.62294601
249.8936017,1.833596903,1.630159901
251.9413614,1.843284483,1.616633842
253.9902375,1.828046738,1.61082263
256.0378618,1.827945826,1.610539906
258.0867825,1.828551298,1.602406374
260.1359246,1.820276523,1.59930037
262.1843123,1.8217902,1.591250896
264.2337046,1.812708148,1.599241195
266.2824185,1.822092935,1.579015672
268.3305099,1.805947079,1.585445419
270.3786266,1.819872876,1.576643525
272.4272883,1.797571446,1.578079299
274.4760125,1.80816713,1.577392625
276.5233643,1.807258927,1.558477758
278.572866,1.785865774,1.54955086
280.6223354,1.791516783,1.554857064
282.6709423,1.781728433,1.554981916
284.7191234,1.803020651,1.541060895
286.7673545,1.779205667,1.543308243
288.8167682,1.790507673,1.539874794
290.8662024,1.767600966,1.537877147
292.9146821,1.786874882,1.535192805
294.9629402,1.771940111,1.529262265
297.011384,1.78546213,1.519835781
299.0599346,1.765582761,1.521521316
301.1076586,1.760032703,1.513343336
303.1556842,1.772646484,1.517525972
305.2046173,1.756702673,1.508099418
307.2517738,1.749134433,1.499734083
309.2997649,1.769215531,1.50323005
311.3480814,1.758619962,1.503854328
313.3954432,1.741667119,1.493803409
315.4440894,1.763060006,1.497049675
317.4912813,1.755088113,1.484813711
319.538548,1.747116238,1.480818273
321.5857,1.727438902,1.477696831
323.6341317,1.744694407,1.479569697
325.6817105,1.739043472,1.470142913
327.7297447,1.722797085,1.475886391
329.7790029,1.744997135,1.467146307
331.8265676,1.732383453,1.461090649
333.8752108,1.719567998,1.471204209
335.9232523,1.743483491,1.444921303
337.9701192,1.732080725,1.454535529
340.0186534,1.720980723,1.456470853
342.0673201,1.705945321,1.45734487
344.1158998,1.71674255,1.452537773
346.1634398,1.718962545,1.438241253
348.21154,1.710082573,1.429251235
350.2594123,1.700597173,1.425193224
352.3069358,1.707257132,1.426067258
354.3553808,1.71583437,1.427940186
356.403728,1.701808074,1.423320292
358.4515646,1.701707166,1.426504275
360.4986134,1.710889842,1.410958885
362.5469952,1.696459932,1.406963258
364.5946319,1.688488189,1.405152736
366.6423466,1.68445187,1.411208611
368.6906884,1.698881731,1.392479023
370.7382114,1.680819187,1.395787933
372.7873349,1.670930236,1.398347652
374.8349905,1.691616339,1.394164695
376.8832076,1.682837344,1.388358484
378.9310112,1.664976696,1.375871933
380.9795847,1.668407548,1.378618983
383.0277379,1.681222819,1.377807355
385.075614,1.669517531,1.376870861
387.1231577,1.653775997,1.372875146
389.1712091,1.660940404,1.367818055
391.2196991,1.681222819,1.373249745
393.2671695,1.665783955,1.366194788
395.3147273,1.659124074,1.361699577
397.3628557,1.649739718,1.359139799
399.4104719,1.663261272,1.347714395
401.4584553,1.655491417,1.359451967
403.5063765,1.643079867,1.351585306
405.5542891,1.633998272,1.338099509
407.6021824,1.6420708,1.34090906
409.6510959,1.651556043,1.342719656
411.6992033,1.635108244,1.333167175
413.7470305,1.633998272,1.337724902
415.7944174,1.644997096,1.328109955
417.8422043,1.651455136,1.321928886
419.8893793,1.646712511,1.327360735
421.9372129,1.633291927,1.32005583
423.9831872,1.620375924,1.314124471
426.0309405,1.616339683,1.316309711
428.0781062,1.616339683,1.311689485
430.1248417,1.617550555,1.315310744
432.1732726,1.629255671,1.3050713
434.2209225,1.617348743,1.297703854
436.2688084,1.603625552,1.306694631
438.3181999,1.620576875,1.294207426
440.3669426,1.611597105,1.288525715
442.4146802,1.599185708,1.298952576
444.463753,1.600396574,1.290523682
446.5116322,1.61837329,1.274415001
448.5601623,1.605643665,1.284155153
450.609262,1.595015388,1.282219615
452.6563208,1.591993355,1.269107841
454.7039008,1.597155996,1.274477438
456.7537775,1.604130081,1.270856084
458.8013721,1.588590648,1.266610348
460.849087,1.582108813,1.266298161
462.8976076,1.580345968,1.266860098
464.9455585,1.591363765,1.25924272
466.9932644,1.59356733,1.267859095
469.0415025,1.58991571,1.25175018
471.0888968,1.577953538,1.248003897
473.1372287,1.575624068,1.244694673
475.1855466,1.565865499,1.246318067
477.234056,1.583305029,1.240636181
479.2822735,1.579401587,1.236203047
481.3294036,1.575687026,1.23863815
483.3764307,1.565739582,1.23988692
485.4245749,1.551448062,1.24144788
487.4746559,1.578834959,1.21353767
489.5219765,1.575812944,1.21965673
491.5710061,1.557240211,1.222466494
493.6196127,1.557366128,1.221654785
495.6670346,1.560702915,1.216222566
497.715029,1.567943127,1.2169094
499.7632034,1.557114295,1.21222644
501.8114524,1.540304504,1.221467467
503.8593256,1.54099704,1.207356146
505.9068639,1.542885776,1.205545392
507.954838,1.573861227,1.204046836
510.0021904,1.562528706,1.201361918
512.050669,1.539989715,1.197178433
514.0982697,1.551007356,1.184065943
516.1455986,1.533442108,1.188499226
518.1934021,1.54798537,1.186938212
520.2403831,1.543389439,1.19043488
522.2885776,1.542256197,1.19636671
524.3362749,1.531616336,1.18668845
526.3844409,1.51751386,1.194056421
528.4340496,1.535519713,1.178508712
530.4822824,1.537660276,1.18056926
532.532275,1.520409898,1.169891842
534.580888,1.519024836,1.167269307
536.6303904,1.543200566,1.168393251
538.6770899,1.52991648,1.161712016
540.7243958,1.515939927,1.166020479
542.7726781,1.504922422,1.168268368
544.8203318,1.504355808,1.170766019
546.8684466,1.521417217,1.163460379
548.916141,1.525005791,1.159401675
550.9648464,1.506496348,1.160962717
553.0131793,1.501270915,1.160588067
555.0612469,1.511847706,1.142292562
557.1085365,1.518710049,1.150097838
559.1569963,1.49931925,1.14866167
561.20556,1.487672243,1.149348533
563.2548368,1.505614949,1.147725038
565.3019564,1.515184439,1.141917907
567.3503363,1.507062962,1.137297164
569.3985498,1.494786355,1.136860066
571.4455938,1.486287196,1.137234722
573.4945228,1.487861113,1.124433943
575.5427563,1.494723398,1.13479946
577.5922973,1.49667506,1.122935308
579.6409223,1.492393997,1.135423886
581.6884706,1.478858323,1.131302667
583.7370539,1.49270878,1.137546935
585.7840593,1.488049983,1.111008623
587.8318207,1.483768932,1.123185081
589.8798296,1.47312929,1.105201356
591.9271708,1.470799906,1.101517164
593.9747672,1.480684061,1.10576335
596.0222614,1.524376217,1.109509976
598.069144,1.474262504,1.111383285
600.1177452,1.458964147,1.106450232
602.1644461,1.457264335,1.106046158
604.2119269,1.463685854,1.106325345
606.2596152,1.470988775,1.093755364
608.3088896,1.469918518,1.094211199
610.3575332,1.455501568,1.085076566
612.4064372,1.455942259,1.086155865
614.4560096,1.462615599,1.097517851
616.5037041,1.449017112,1.093002867
618.5528271,1.444610208,1.102233502
620.6012621,1.462552643,1.086230395
622.6506462,1.450024405,1.083722072
