Time (s),Voltage_A2 (V),Voltage_A1 (V)
247.4218431,1.730667996,1.190487134
252.4723573,1.718458,1.55536351
257.5213847,1.727035266,1.533408478
262.5707791,1.695349942,1.549733985
267.6218891,1.687277293,1.509076908
272.6716785,1.694744493,1.513455312
277.7214558,1.686268213,1.49087539
282.771049,1.664875789,1.473862479
287.8209193,1.668205733,1.474550497
292.8705666,1.663765808,1.458913787
297.9211709,1.643887121,1.452784239
302.9706504,1.651455136,1.422512131
308.0210297,1.633090114,1.395180173
313.0714929,1.644593468,1.384547733
318.1214139,1.625320326,1.412317317
323.1713781,1.623403108,1.363845954
328.2231078,1.624311264,1.384109928
333.2731152,1.613110693,1.375041142
338.3221993,1.611193482,1.379481713
343.3710346,1.59904477,1.352400677
348.4200971,1.586578888,1.272161008
353.4676018,1.593063658,1.265719498
358.5169911,1.587460312,1.268533747
363.566776,1.566998751,1.078225894
368.617384,1.567565376,1.118259968
373.6673324,1.563724914,1.243018079
378.7174275,1.563032373,1.29542571
383.7671936,1.54395606,1.286795215
388.8172238,1.533568024,1.279540634
393.8675842,1.545718883,1.281666973
398.9179943,1.545530009,1.244894217
403.9679816,1.528846201,1.236264002
409.0179555,1.525887197,1.255338092
414.0682626,1.530231268,1.228071595
419.1189826,1.514554867,1.262842716
424.1681781,1.520409898,1.241141944
429.2175326,1.500074733,1.208497545
434.2668099,1.511281091,1.193238711
439.317019,1.498060112,1.1913001
444.3668587,1.498248982,1.201118255
449.4173279,1.487987026,1.179043127
454.4662716,1.479299018,1.185671886
459.5159194,1.484398498,1.184983995
464.5668848,1.466959575,1.148088445
469.6161509,1.481691365,1.171914116
474.6656108,1.471051731,1.169162576
479.7144909,1.451787169,1.164847672
484.7650015,1.460915785,1.127514865
489.8152602,1.452542639,1.124013006
494.8662903,1.45329811,1.131767133
499.9167557,1.433467069,1.124638337
504.9669528,1.438503511,1.1470879
510.016382,1.431578406,1.130641531
515.0663552,1.428304726,1.097249056
520.1163642,1.437055533,1.094025749
525.166497,1.417791201,1.093997393
530.2163229,1.426290155,1.122824877
535.2658238,1.416406189,1.070501514
540.3121178,1.408914543,1.100000469
545.3622944,1.405829754,1.063919825
550.4115858,1.400352687,1.056758126
555.4603095,1.391224265,1.043516307
560.5103714,1.405892709,0.970886705
565.5593085,1.386313816,0.986787004
570.6090443,1.397519725,0.996517777
575.6563721,1.375485676,1.001834588
580.7062559,1.387006315,0.972441624
585.7554891,1.36276896,0.970334959
590.8053961,1.365601887,0.973996544
595.8553567,1.373408189,0.978109556
600.9053783,1.359936036,0.986686686
605.9556272,1.365475979,0.930258094
611.0056663,1.35194091,0.857126282
616.0559957,1.34917095,0.823318985
621.1066151,1.343253318,0.436248618
626.1564908,1.356914254,0.282694003
631.204886,1.342497877,0.242829116
636.2555153,1.334250987,0.25338794
641.3044379,1.339727926,0.269328597
646.3534186,1.342309016,0.301400342
651.4026003,1.330662653,0.278824586
656.4524117,1.325815261,0.292044406
661.5023487,1.331166278,0.27471014
666.5517757,1.318953384,0.340106965
671.6002614,1.310706562,0.365485703
676.6498048,1.310832468,0.346514114
681.6984422,1.325122778,0.388333221
686.7473361,1.312532192,0.41158745
691.797426,1.300948903,0.395834542
696.8470819,1.302019096,0.369048765
701.8971233,1.30258567,0.372080501
706.9465039,1.285462623,0.381644578
711.9971173,1.291883753,0.412181313
717.0469925,1.291568992,0.392646476
722.09677,1.282189111,0.378550311
727.1466713,1.283259297,0.408586882
732.1961045,1.285777384,0.39599082
737.2459905,1.270794801,0.395521986
742.2958357,1.283259297,0.393084053
747.345706,1.273061069,0.363110333
752.3965149,1.261163183,0.352046164
757.4471598,1.272053839,0.378269014
762.4974535,1.261981555,0.35839086
767.5475161,1.255182783,0.376987552
772.5975628,1.267773114,0.361172534
777.6472816,1.263555347,0.383269853
782.6969149,1.25209816,0.499294469
787.7475944,1.247187951,0.495793582
792.7975128,1.253105383,0.49079233
797.8471992,1.239633801,0.491386228
802.896234,1.249957812,0.515673739
807.9459338,1.246621389,0.50970341
812.995261,1.236738048,0.492824086
818.0453305,1.244858753,0.51892461
823.095346,1.231953768,0.518049375
828.1463964,1.228302613,0.526301615
833.1966355,1.238752485,0.511203804
838.2468066,1.228365564,0.494699556
843.2970302,1.234597712,0.485165944
848.3468223,1.234157054,0.531584325
853.3970752,1.225658675,0.515454931
858.447238,1.212250173,0.500607304
863.4977829,1.224714412,0.51198526
868.5478957,1.231890817,0.500732336
873.598541,1.214327543,0.497919119
878.6482723,1.210613459,0.521175217
883.6980457,1.213509185,0.487010145
888.747884,1.211557717,0.473725696
893.7972441,1.206018074,0.503170462
898.8475883,1.220811463,0.472506659
903.8984883,1.211935421,0.485884869
908.9491158,1.202429902,0.457003103
913.998373,1.193239167,0.477757904
919.0476773,1.195946024,0.456440477
924.0973115,1.207088232,0.492667797
929.1469593,1.211683618,0.456815561
934.1941292,1.212627877,0.424058632
939.2435083,1.209795102,0.439999406
944.2938831,1.204129562,0.401335537
949.3444309,1.194309319,0.401210514
954.3950615,1.202492853,0.3432324
959.4450381,1.20010074,0.214940064
964.4956017,1.189588061,0.243658165
969.5452967,1.197016178,0.207323059
974.5950592,1.191350663,0.234648252
979.6451333,1.192546715,0.225091174
984.6962368,1.183230111,0.198501978
989.745702,1.198338133,0.202740442
994.7931483,1.186440559,0.18658457
999.8425958,1.197079128,0.291794084
1004.892908,1.183733711,0.303199596
1009.942209,1.192672615,0.392333921
